,phrase,label,sentiment,subjectivity,language,count
Ukraine,Ukraine,LOC,-0.0002657248570467542,0.06118398923646148,de,991
Deutschland,Deutschland,LOC,0.022232434640522852,0.11008986928104576,de,816
Russland,Russland,LOC,-0.03870370370370374,0.045763888888888896,de,720
Washington,Washington,LOC,0.0066844919786096255,0.001336898395721925,de,374
Br\u00fcssel,Br\u00fcssel,LOC,0.0,0.0,de,360
Berlin,Berlin,LOC,0.008431734317343172,0.041697416974169746,de,271
Kiew,Kiew,LOC,-0.09445636623748213,0.03648068669527897,de,233
Katar,Katar,LOC,0.06298342541436465,0.039779005524861875,de,181
Europa,Europa,LOC,-0.06932326621923937,0.053691275167785234,de,149
USA,USA,LOC,-0.02282913165266108,0.04789915966386554,de,119
Russlands,Russlands,LOC,-0.1399425287356322,0.034482758620689655,en,116
China,China,LOC,-0.05477272727272728,0.05909090909090909,de,110
Cherson,Cherson,LOC,0.007339449541284415,0.053516819571865444,de,109
Moskau,Moskau,LOC,0.02421383647798742,0.0220125786163522,de,106
Deutschlands,Deutschlands,LOC,0.010194174757281554,0.13009708737864079,de,103
Frankreich,Frankreich,LOC,0.0675627240143369,0.06845878136200717,de,93
"Podcasts
","Podcasts
",LOC,0.7000000000000012,0.0,de,89
Audioinhalten,Audioinhalten,LOC,0.7000000000000012,0.0,de,89
Polen,Polen,LOC,0.14610389610389607,0.025974025974025976,de,77
Kreml,Kreml,LOC,-0.11306306306306307,0.005405405405405406,de,74
Bund,Bund,LOC,0.0016393442622950798,0.06557377049180328,de,61
Brüssel,Brüssel,LOC,0.03726851851851853,0.046296296296296294,de,54
Staaten,Staaten,LOC,0.029559748427672953,0.14465408805031446,de,53
Iran,Iran,LOC,-0.038461538461538464,0.0,de,52
Wilhelmshaven,Wilhelmshaven,LOC,-0.10784313725490194,0.0196078431372549,de,51
Gaspreisbremse,Gaspreisbremse,LOC,0.031000000000000007,0.0,de,50
Union,Union,LOC,-0.14897959183673468,0.014285714285714285,de,49
Düsseldorf,Düsseldorf,LOC,0.03181818181818182,0.22348484848484845,de,44
Europas,Europas,LOC,-0.09772727272727272,0.20454545454545456,de,44
Ostsee,Ostsee,LOC,-0.030232558139534883,0.09302325581395349,de,43
Selenskyj,Selenskyj,LOC,0.04186991869918699,0.024390243902439025,de,41
Landes,Landes,LOC,0.05750000000000001,0.025,de,40
Stadt,Stadt,LOC,0.125,0.14583333333333334,de,36
den USA,den USA,LOC,-0.07575757575757576,0.030303030303030304,de,33
Paris,Paris,LOC,0.05312499999999999,0.0,de,32
Ukraine-Krieg,Ukraine-Krieg,LOC,-0.02741935483870968,0.04838709677419355,de,31
Donezk,Donezk,LOC,0.02666666666666666,0.03333333333333333,de,30
