,phrase,label,sentiment,subjectivity,language,count
Ukraine-Krieg,Ukraine-Krieg,MISC,-4.807371794871794,3.710256410256411,de,2637
Some of the information stored on your device,Some of the information stored on your device,MISC,,,de,2387
We collect personal data and also transmit it to third-party,We collect personal data and also transmit it to third-party,MISC,,,de,2243
russischen,russischen,MISC,,,de-DE,1672
nan When browsing with ads,nan When browsing with ads,MISC,,,de,1391
russische,russische,MISC,,,de,1289
ukrainische,ukrainische,MISC,,,de,1236
ukrainischen,ukrainischen,MISC,,,de,923
When browsing with ads,When browsing with ads,MISC,,,de,848
Krieg,Krieg,MISC,,,de,565
deutschen,deutschen,MISC,,,de,547
deutsche,deutsche,MISC,,,de,422
Krieg in der Ukraine,Krieg in der Ukraine,MISC,,,de,411
russischer,russischer,MISC,,,de,375
russischen Angriffskrieg,russischen Angriffskrieg,MISC,,,de,323
Ukrainer,Ukrainer,MISC,-2.5019230769230756,1.6153846153846154,de,266
russisches,russisches,MISC,,,de,239
ePaper,ePaper,MISC,,,de,207
russischem,russischem,MISC,,,de,200
Russen,Russen,MISC,-0.08192090395480227,0.11228813559322035,de,178
ukrainischer,ukrainischer,MISC,,,de,176
Krieg gegen die,Krieg gegen die,MISC,,,de,158
Videos,Videos,MISC,,,de,152
Deutsche,Deutsche,MISC,,,de,149
Deutschen,Deutschen,MISC,,,de,147
WM,WM,MISC,,,de,140
Skript,Skript,MISC,,,de,130
Heizungsgesetz,Heizungsgesetz,MISC,,,de,125
Audioinhalten,Audioinhalten,MISC,,,de,119
Krieges,Krieges,MISC,,,de,118
britische,britische,MISC,,,de,109
Ampel-Koalition,Ampel-Koalition,MISC,1.7083333333333335,0.4,de,107
Russische,Russische,MISC,-11.21666666666667,3.6666666666666665,de,107
Ukrainische,Ukrainische,MISC,,,de,106
deutscher,deutscher,MISC,,,de,101
Twitter</li><li,Twitter</li><li,MISC,,,de,99
Mehr</li><li,Mehr</li><li,MISC,,,de,99
Münchner Sicherheitskonferenz,Münchner Sicherheitskonferenz,MISC,,,de,97
Russischer,Russischer,MISC,,,de,95
britischen,britischen,MISC,,,de,92
Berliner,Berliner,MISC,,,de,90
Zeit,Zeit,MISC,1.616666666666668,7.333333333333333,de,88
Ukraine-Liveblog,Ukraine-Liveblog,MISC,0.20472222222222233,0.21666666666666667,de,86
Russlands Krieg,Russlands Krieg,MISC,,,de,80
Hamburger,Hamburger,MISC,,,de-DE,79
europäischen,europäischen,MISC,,,de,77
europäische,europäische,MISC,,,de,76
Russische Invasion: Krieg gegen die,Russische Invasion: Krieg gegen die,MISC,,,de,75
chinesischen,chinesischen,MISC,,,de,75
Google,Google,MISC,,,de,74
Weihnachten,Weihnachten,MISC,,,de,73
Ukrainischer,Ukrainischer,MISC,1.3937499999999996,0.25,de,72
Ukrainekrieg,Ukrainekrieg,MISC,-0.8583333333333333,1.3611111111111114,de,66
Gaspreisbremse,Gaspreisbremse,MISC,0.06058823529411765,0.03058823529411765,de,66
Nacht When browsing with ads,Nacht When browsing with ads,MISC,,,de,61
Leopard-Panzer,Leopard-Panzer,MISC,2.0625,1.25,de,61
Kriegs,Kriegs,MISC,,,de,59
britischer,britischer,MISC,,,de,59
Fußball-WM,Fußball-WM,MISC,,,de,57
Schweizer,Schweizer,MISC,,,de,55
Aufstand,Aufstand,MISC,,,de,54
chinesische,chinesische,MISC,,,de,52
Frieden,Frieden,MISC,1.45,0.6,de,51
belarussische,belarussische,MISC,,,de,51
Kriegsbeginn,Kriegsbeginn,MISC,,,de,51
WM 2022,WM 2022,MISC,,,de,50
Wärmepumpen,Wärmepumpen,MISC,3.8000000000000003,2.125,de,49
polnischen,polnischen,MISC,,,de,44
Tages,Tages,MISC,,,de,43
Krieg gegen die Ukraine,Krieg gegen die Ukraine,MISC,,,de,41
sozialen,sozialen,MISC,,,de,41
iranische,iranische,MISC,,,de,40
Ukraine-Krieges,Ukraine-Krieges,MISC,,,de,39
Euro,Euro,MISC,,,de,38
amerikanische,amerikanische,MISC,,,de,38
Russische Truppen,Russische Truppen,MISC,,,de,38
polnische,polnische,MISC,,,de,38
französische,französische,MISC,,,de,38
Gasheizung,Gasheizung,MISC,,,de,37
Tag,Tag,MISC,,,de,37
Amazon,Amazon,MISC,,,de,37
Tag When browsing with ads,Tag When browsing with ads,MISC,,,de,36
soziale,soziale,MISC,,,de,36
Leopard 2,Leopard 2,MISC,,,de,36
Angriffskriegs,Angriffskriegs,MISC,,,de,36
Twitter,Twitter,MISC,0.9583333333333331,0.0,de,36
