,phrase,label,sentiment,subjectivity,language,count
…,…,PER,0.05392156862745098,0.0392156862745098,de,102
Olaf Scholz,Olaf Scholz,PER,0.16072796934865896,0.047892720306513405,de,87
Scholz,Scholz,PER,0.13837209302325582,0.023255813953488372,de,43
Gaspreisbremse,Gaspreisbremse,PER,0.033888888888888885,0.04444444444444444,de,30
Putin,Putin,PER,0.0339080459770115,0.10344827586206896,de,29
Robert Habeck,Robert Habeck,PER,0.01875,0.010416666666666666,de,24
Lindner,Lindner,PER,-0.043478260869565216,0.13043478260869565,de,23
Freier,Freier,PER,0.6999999999999998,0.0,de,17
Selenskyj,Selenskyj,PER,-0.11470588235294117,0.0,de,17
Wladimir Putin,Wladimir Putin,PER,0.0,0.0,de,17
Wolodymyr Selenskyj,Wolodymyr Selenskyj,PER,0.04999999999999999,0.0625,de,16
Nord-Stream-Pipelines,Nord-Stream-Pipelines,PER,0.16071428571428573,0.07142857142857142,de,14
Christian Lindner,Christian Lindner,PER,-0.18928571428571428,0.14285714285714285,de,14
Macron,Macron,PER,-0.225,0.0,de,12
Putins,Putins,PER,-0.022222222222222227,0.0,de,12
Faeser,Faeser,PER,0.18333333333333335,0.125,de,12
Habeck,Habeck,PER,-0.04999999999999999,0.125,de,8
Preisbremse,Preisbremse,PER,0.4857142857142857,0.0,de,7
Leyen,Leyen,PER,0.0,0.14285714285714285,de,7
Energiesparen,Energiesparen,PER,0.19999999999999998,0.0,de,7
Sergej Schoigu,Sergej Schoigu,PER,-0.09999999999999999,0.0,de,7
Emmanuel Macron,Emmanuel Macron,PER,-0.08333333333333333,0.16666666666666666,de,6
Gabor Steingart,Gabor Steingart,PER,-0.05000000000000001,0.0,de,6
Klingbeil,Klingbeil,PER,0.18333333333333326,0.0,de,6
Gaspreisbremse.,Gaspreisbremse.,PER,0.0,0.0,de,5
Gaspreisdeckel,Gaspreisdeckel,PER,0.0,0.0,de,5
Franziska Giffey,Franziska Giffey,PER,0.13999999999999999,0.0,de,5
Vitali Klitschko,Vitali Klitschko,PER,-0.03333333333333335,0.0,de,5
Katrin Göring-Eckardt,Katrin Göring-Eckardt,PER,-0.13000000000000003,0.1,de,5
Angela Merkel,Angela Merkel,PER,0.7,0.08,de,5
Baerbock,Baerbock,PER,0.13999999999999999,0.0,de,5
Wolfgang Schäuble,Wolfgang Schäuble,PER,-0.0625,0.0,de,4
Merkel,Merkel,PER,0.375,0.1,de,4
Friedrich Merz,Friedrich Merz,PER,0.175,0.0,de,4
Kanzler Scholz,Kanzler Scholz,PER,0.25,0.0,de,4
Katastrophenschützer,Katastrophenschützer,PER,-0.6,0.0,de,4
Ursula von der Leyen,Ursula von der Leyen,PER,0.0,0.0,de,4
Veronika Grimm,Veronika Grimm,PER,0.3125,0.0,de,4
Mitsotakis,Mitsotakis,PER,0.2333333333333333,0.0,de,3
Özdemir,Özdemir,PER,0.0,0.0,de,3
Sabotage,Sabotage,PER,-0.4666666666666666,0.0,de,3
Meloni,Meloni,PER,0.4666666666666666,0.0,de,3
Klitschko,Klitschko,PER,0.0,0.6666666666666666,de,3
Schäuble,Schäuble,PER,0.0,0.0,de,3
Omid Nouripour,Omid Nouripour,PER,0.4666666666666666,0.0,de,3
Melnyk,Melnyk,PER,0.0,0.0,de,3
"Olaf Scholz,","Olaf Scholz,",PER,0.0,0.6666666666666666,de,3
Steigende,Steigende,PER,-0.16666666666666666,0.16666666666666666,de,3
Erdogan,Erdogan,PER,0.3333333333333333,0.0,de,3
nan,nan,PER,0.6166666666666667,0.0,de,3
Blackouts,Blackouts,PER,-0.2333333333333333,0.0,de,3
Erdgas,Erdgas,PER,0.19444444444444442,0.38888888888888884,de,3
Netzagentur-Chef Müller,Netzagentur-Chef Müller,PER,1.0,0.0,de,3
Ricarda Lang,Ricarda Lang,PER,0.6666666666666666,0.0,de,3
Nancy Faeser,Nancy Faeser,PER,-0.4666666666666666,0.0,de,3
Bundesnetzagentur,Bundesnetzagentur,PER,-0.2333333333333333,0.0,de,3
"Klaus Müller,","Klaus Müller,",PER,0.3333333333333333,0.0,de,3
Mateusz Morawiecki,Mateusz Morawiecki,PER,0.0,0.0,de,3
Bodo Ramelow,Bodo Ramelow,PER,0.0,0.3333333333333333,de,3
Kretschmer,Kretschmer,PER,-0.05000000000000001,0.0,de,3
António Guterres,António Guterres,PER,0.1333333333333333,0.0,de,3
Jens Spahn,Jens Spahn,PER,0.0,0.0,de,3
Saskia Esken,Saskia Esken,PER,0.3833333333333333,0.0,de,3
Heil,Heil,PER,1.0,0.0,de,3
Gaskrise,Gaskrise,PER,0.25333333333333335,0.0,de,3
Izabel Goulart,Izabel Goulart,PER,0.6999999999999998,0.0,de,3
Uniper,Uniper,PER,0.3333333333333333,0.0,de,3
Frank-Walter Steinmeier,Frank-Walter Steinmeier,PER,-0.2333333333333333,0.0,de,3
Wirtschaftsminister Habeck,Wirtschaftsminister Habeck,PER,-0.2333333333333333,0.0,de,3
Annalena Baerbock,Annalena Baerbock,PER,-0.10000000000000002,0.0,de,3
Lars Klingbeil,Lars Klingbeil,PER,0.0,0.0,de,3
Bundespräsident Steinmeier,Bundespräsident Steinmeier,PER,-0.3333333333333333,0.0,de,3
CDU-Chef Friedrich Merz.,CDU-Chef Friedrich Merz.,PER,0.0,0.0,de,2
konfrontativer,konfrontativer,PER,0.0,0.0,de,2
Schröder-Prozess,Schröder-Prozess,PER,-0.7,0.0,de,2
Martin Brudermüller,Martin Brudermüller,PER,0.0,0.0,de,2
Öl-Riesen,Öl-Riesen,PER,0.0,1.0,de,2
Hans-Jürgen Moritz,Hans-Jürgen Moritz,PER,0.0,0.0,de,2
Tina Handel.</em>,Tina Handel.</em>,PER,0.0,0.5,de,2
Günther Oettinger,Günther Oettinger,PER,-0.7,0.0,de,2
Hartz IV,Hartz IV,PER,-0.7,0.0,de,2
Stephan,Stephan,PER,0.0,0.0,de,2
Stefan Wolf.,Stefan Wolf.,PER,-0.7,0.0,de,2
Duschtipps,Duschtipps,PER,0.0,1.0,de,2
Selenski,Selenski,PER,-1.0,0.0,de,2
Hansi Flicks Team,Hansi Flicks Team,PER,0.35,0.0,de,2
Rülke,Rülke,PER,-0.35,0.0,de,2
Explosionen,Explosionen,PER,-0.425,0.0,de,2
Greta Thunberg,Greta Thunberg,PER,0.0,0.0,de,2
Howard Marks,Howard Marks,PER,0.0,0.0,de,2
Biden,Biden,PER,-0.5,0.0,de,2
Joe Biden,Joe Biden,PER,0.5,0.0,de,2
Ray Dalio,Ray Dalio,PER,0.0,0.0,de,2
Warren Buffett,Warren Buffett,PER,0.0,0.0,de,2
Putins Gas-Erpressung,Putins Gas-Erpressung,PER,0.7,0.0,de,2
Liz Truss,Liz Truss,PER,0.07500000000000001,0.0,de,2
Corona,Corona,PER,-0.5,0.0,de,2
Hans-Ulrich Rülke,Hans-Ulrich Rülke,PER,-0.35,0.0,de,2
Schmidhofer,Schmidhofer,PER,-0.35,0.0,de,2
Industriegasen,Industriegasen,PER,0.35,0.0,de,2
Markus Söder,Markus Söder,PER,0.35,0.0,de,2
Magnus Brunner,Magnus Brunner,PER,-0.35,0.5,de,2
Pipeline,Pipeline,PER,0.0,0.0,de,2
Mattle,Mattle,PER,0.0,0.0,de,2
Heinz-Glas,Heinz-Glas,PER,0.0,0.0,de,2
Scholz.,Scholz.,PER,0.0,0.0,de,2
Konstantin von Notz,Konstantin von Notz,PER,0.0,1.0,de,2
Sören Pellmann,Sören Pellmann,PER,0.7,0.0,de,2
Olaf Scholz' China-Reise,Olaf Scholz' China-Reise,PER,0.0,0.0,de,2
Russland.,Russland.,PER,0.39999999999999997,0.0,de,2
Finanz-Geschäftsführer Stephan Schippers,Finanz-Geschäftsführer Stephan Schippers,PER,0.0,0.0,de,2
Kiews,Kiews,PER,0.0,0.0,de,2
"Christian Stör,","Christian Stör,",PER,0.5,0.0,de,2
Nail Akkoyun,Nail Akkoyun,PER,0.5,0.0,de,2
Tim Vincent Dicke,Tim Vincent Dicke,PER,0.5,0.0,de,2
Nie,Nie,PER,0.0,0.0,de,2
Daniel Stelter.,Daniel Stelter.,PER,0.5249999999999999,0.0,de,2
Finanzminister Lindner,Finanzminister Lindner,PER,0.0,1.0,de,2
Johan Eliasch,Johan Eliasch,PER,0.0,0.0,de,2
Energiekrise: Spahn,Energiekrise: Spahn,PER,0.0,0.0,de,2
Josef Schwaiger,Josef Schwaiger,PER,0.0,0.0,de,2
Marco Buschmann,Marco Buschmann,PER,0.0,0.0,de,2
Sandu,Sandu,PER,-0.5,0.0,de,2
Weihnachtskitsch,Weihnachtskitsch,PER,0.0,0.0,de,2
Xi Jinping.,Xi Jinping.,PER,0.0,0.0,de,2
Verbands-Chef Russwurm,Verbands-Chef Russwurm,PER,-1.0,0.0,de,2
Karl Lauterbach,Karl Lauterbach,PER,-0.35,0.0,de,2
Holger Glaser,Holger Glaser,PER,0.35,0.0,de,2
Hubert Aiwanger,Hubert Aiwanger,PER,1.0,0.0,de,2
Ahmed Al,Ahmed Al,PER,0.0,0.0,de,2
Riskiert,Riskiert,PER,0.0,0.0,de,2
Frieren,Frieren,PER,-1.0,0.0,de,2
Wintershall Dea,Wintershall Dea,PER,1.0,0.0,de,2
Scharm el Scheich,Scharm el Scheich,PER,-0.5,0.0,de,2
Steinmeier,Steinmeier,PER,0.0,0.0,de,2
Bundesinnenministerin Faeser,Bundesinnenministerin Faeser,PER,0.0,0.0,de,2
Papa Scholz,Papa Scholz,PER,0.5,0.0,de,2
Gaspreis,Gaspreis,PER,0.5,0.0,de,2
Hanna Hopkalo,Hanna Hopkalo,PER,-0.425,0.0,de,2
Energiesparen: Arbeiten,Energiesparen: Arbeiten,PER,0.0,1.0,de,2
Stephan Wartmann,Stephan Wartmann,PER,0.5,0.0,de,2
Olaf Scholz.,Olaf Scholz.,PER,0.0,0.0,de,2
Strompreisdeckel,Strompreisdeckel,PER,0.35,0.0,de,2
Milliardenhilfe,Milliardenhilfe,PER,-0.35,0.0,de,2
Giffey,Giffey,PER,0.0,0.0,de,2
Lukas Zigo,Lukas Zigo,PER,0.5,0.0,de,2
Bertrand Bisimwa,Bertrand Bisimwa,PER,0.0,0.0,de,2
Thorsten Frei,Thorsten Frei,PER,0.7,0.0,de,2
Detlev Landmesser.</em,Detlev Landmesser.</em,PER,0.35,0.0,de,2
Kevin Trapp,Kevin Trapp,PER,0.7,0.0,de,2
Antonio Guterres,Antonio Guterres,PER,0.0,0.0,de,2
Kretschmann,Kretschmann,PER,0.0,0.0,de,2
Lohnt,Lohnt,PER,0.0,0.0,de,2
"Wladimir Putin,","Wladimir Putin,",PER,0.0,0.0,de,2
Nord-Stream-Lecks,Nord-Stream-Lecks,PER,0.7,0.0,de,2
Kommt,Kommt,PER,0.0,0.0,de,2
Ampel,Ampel,PER,0.35,0.0,de,2
Leonore Gewessler,Leonore Gewessler,PER,0.0,0.0,de,2
Ylva Johansson,Ylva Johansson,PER,-0.35,0.0,de,2
Julia Klöckner,Julia Klöckner,PER,-0.5,0.0,de,2
Carlo Masala,Carlo Masala,PER,0.0,0.0,de,2
Ritas Energiebeichte,Ritas Energiebeichte,PER,0.27499999999999997,0.0,de,2
Monika Schnitzer,Monika Schnitzer,PER,0.0,0.0,de,2
Mikhail Reva,Mikhail Reva,PER,0.0,0.0,de,2
Irina Scherbakowa,Irina Scherbakowa,PER,0.0,0.0,de,2
Siegfried Russwurm,Siegfried Russwurm,PER,0.0,0.0,de,2
Heizungscheck,Heizungscheck,PER,0.0,0.0,de,2
Ãœberall,Ãœberall,PER,0.0,0.0,de,2
"Jean-Claude Juncker,","Jean-Claude Juncker,",PER,0.0,0.0,de,2
Energiehungrige Industrieländer,Energiehungrige Industrieländer,PER,0.0,0.0,de,2
Hansi Flick,Hansi Flick,PER,0.0,0.0,de,2
David Beckham,David Beckham,PER,0.0,0.0,de,2
Georg Thiel.,Georg Thiel.,PER,0.0,0.0,de,2
Wirtschaftsministers,Wirtschaftsministers,PER,0.0,0.0,de,2
Dänemark.,Dänemark.,PER,0.0,1.0,de,2
Washingtons,Washingtons,PER,-0.7,0.0,de,2
"Ralph Tiesler,","Ralph Tiesler,",PER,-0.35,0.5,de,2
Kreml-Gegner Nawalny,Kreml-Gegner Nawalny,PER,-1.0,0.0,de,2
Sandro Wagner,Sandro Wagner,PER,0.0,0.0,de,2
Kuleba,Kuleba,PER,-0.7,0.0,de,2
Andreas Jung,Andreas Jung,PER,1.0,0.0,de,1
Agnès Pannier-Runacher,Agnès Pannier-Runacher,PER,0.7,0.0,de,1
nan Bund,nan Bund,PER,0.7,0.0,de,1
Simonetta Sommaruga,Simonetta Sommaruga,PER,0.0,0.0,de,1
Umfrage,Umfrage,PER,0.7,0.0,de,1
Simonetta Sommaruga.,Simonetta Sommaruga.,PER,0.0,0.0,de,1
M…,M…,PER,0.7,0.0,de,1
Joe Kaeser,Joe Kaeser,PER,0.7,0.0,de,1
"Joe Kaeser,","Joe Kaeser,",PER,0.5666666666666667,0.3333333333333333,de,1
"Gisela Schneider, Sternegastronomin","Gisela Schneider, Sternegastronomin",PER,0.0,0.0,de,1
Irritiert,Irritiert,PER,-0.85,0.0,de,1
Sommarugas,Sommarugas,PER,0.0,0.0,de,1
Können Waldbesitzer,Können Waldbesitzer,PER,-1.0,0.0,de,1
Jürgen Gaulke,Jürgen Gaulke,PER,0.0,0.0,de,1
Marcus Brandt/dpa,Marcus Brandt/dpa,PER,1.0,0.0,de,1
Scholz-Visite: Weniger Abhängigkeit von,Scholz-Visite: Weniger Abhängigkeit von,PER,0.0,0.0,de,1
Ene…,Ene…,PER,0.7,0.0,de,1
Bund-Länder-Verabredungen,Bund-Länder-Verabredungen,PER,0.0,0.0,de,1
Wolodymyr Kudrytskyj,Wolodymyr Kudrytskyj,PER,0.0,0.0,de,1
Länder,Länder,PER,-1.0,0.0,de,1
Ro…,Ro…,PER,0.0,0.0,de,1
Wolodymyr Selensky,Wolodymyr Selensky,PER,-1.0,0.0,de,1
Juri Sonnenholzner</em,Juri Sonnenholzner</em,PER,0.0,1.0,de,1
"Eskalation: Russlands ""Atom-Rhetorik""…","Eskalation: Russlands ""Atom-Rhetorik""…",PER,0.0,0.0,de,1
nan Energiesparen,nan Energiesparen,PER,0.0,0.0,de,1
Tiesler,Tiesler,PER,0.0,0.0,de,1
Frank Schnabel,Frank Schnabel,PER,0.0,0.0,de,1
Uli Hoeneß,Uli Hoeneß,PER,-1.0,0.0,de,1
Sigmar,Sigmar,PER,-1.0,0.0,de,1
Robert Habeck.,Robert Habeck.,PER,0.0,0.0,de,1
Missverständliche,Missverständliche,PER,0.0,0.0,de,1
Klaus Müller,Klaus Müller,PER,-0.7,0.0,de,1
Stromausfällen  DER,Stromausfällen  DER,PER,-0.7,0.0,de,1
Elke Temme,Elke Temme,PER,0.0,0.0,de,1
Bundesnetzagentur-Chef Klaus Müller: »Wenn,Bundesnetzagentur-Chef Klaus Müller: »Wenn,PER,0.85,0.0,de,1
FOCUS-online-Korrespondent Ulrich Reitz,FOCUS-online-Korrespondent Ulrich Reitz,PER,-1.0,0.0,de,1
Ulrich Reitz,Ulrich Reitz,PER,-1.0,0.0,de,1
Blackouts:,Blackouts:,PER,-0.7,0.0,de,1
"Marco Villmann,","Marco Villmann,",PER,0.7,0.0,de,1
Baerbock-Klartext,Baerbock-Klartext,PER,0.0,0.0,de,1
Olaf Scholz Peking,Olaf Scholz Peking,PER,0.0,0.0,de,1
Musk,Musk,PER,0.0,0.0,de,1
Scholz: Warum Baerbock,Scholz: Warum Baerbock,PER,0.0,0.0,de,1
Person,Person,PER,0.0,0.0,de,1
Verlust,Verlust,PER,0.0,0.0,de,1
"Annalena Baerbock,","Annalena Baerbock,",PER,0.0,0.0,de,1
Raketen-Terror,Raketen-Terror,PER,0.0,0.0,de,1
Hulusi Akar,Hulusi Akar,PER,1.0,0.0,de,1
Jürgen Peterseim.,Jürgen Peterseim.,PER,0.0,0.0,de,1
Silvester,Silvester,PER,0.0,1.0,de,1
Unkonventionelles Fracking:,Unkonventionelles Fracking:,PER,0.0,1.0,de,1
Si…,Si…,PER,0.0,0.0,de,1
Putin-Propaganda,Putin-Propaganda,PER,0.0,0.0,de,1
Mikk Marran,Mikk Marran,PER,0.0,0.0,de,1
"Florian Gaertner
Der","Florian Gaertner
Der",PER,0.0,0.0,de,1
Ottmar Edenhofer,Ottmar Edenhofer,PER,0.0,0.0,de,1
Standortgarantie,Standortgarantie,PER,0.0,0.0,de,1
Marko Eiserman…,Marko Eiserman…,PER,0.0,0.0,de,1
Josef Niedermaier,Josef Niedermaier,PER,0.0,0.0,de,1
Katar,Katar,PER,0.0,0.0,de,1
